,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
0,KC Sangakkara (Asia/ICC/SL),2000-2015,404,397,501,402,99,383,19,5 (4ct 1st),1.261
1,AC Gilchrist (AUS/ICC),1996-2008,287,286,472,417,55,417,0,6 (6ct 0st),1.650
2,MS Dhoni (Asia/INDIA),2004-2019,350,345,444,321,123,321,0,6 (5ct 1st),1.286
3,MV Boucher (Afr/SA),1998-2011,295,291,425,403,22,402,1,6 (6ct 0st),1.460
4,Moin Khan (PAK),1990-2004,219,217,287,214,73,214,0,5 (5ct 0st),1.322
5,BB McCullum (NZ),2002-2016,260,257,277,262,15,227,35,5 (5ct 0st),1.077
6,IA Healy (AUS),1988-1997,168,168,233,194,39,194,0,4 (4ct 0st),1.386
7,Mushfiqur Rahim (BDESH),2006-2019,216,215,225,181,44,179,2,5 (5ct 0st),1.046
8,Rashid Latif (PAK),1992-2003,166,164,220,182,38,182,0,5 (5ct 0st),1.341
9,DPMD Jayawardene (Asia/SL),1998-2015,448,443,218,218,0,0,218,4 (4ct 0st),0.492
10,R Dravid (Asia/ICC/INDIA),1996-2011,344,341,210,196,14,72,124,4 (4ct 0st),0.615
11,RS Kaluwitharana (SL),1990-2004,189,188,207,132,75,131,1,5 (4ct 1st),1.101
12,PJL Dujon (WI),1981-1991,169,168,204,183,21,183,0,4 (4ct 0st),1.214
13,JC Buttler (ENG),2012-2019,142,138,202,171,31,171,0,6 (6ct 0st),1.463
14,RD Jacobs (WI),1996-2004,147,145,189,160,29,160,0,6 (5ct 1st),1.303
15,Kamran Akmal (PAK),2002-2017,157,154,188,157,31,156,1,5 (4ct 1st),1.220
16,D Ramdin (WI),2005-2016,139,137,188,181,7,181,0,5 (5ct 0st),1.372
17,AB de Villiers (Afr/SA),2005-2018,228,223,181,176,5,93,83,5 (5ct 0st),0.811
18,BJ Haddin (AUS),2001-2015,126,124,181,170,11,170,0,5 (5ct 0st),1.459
19,AJ Stewart (ENG),1989-2003,170,169,174,159,15,148,11,6 (6ct 0st),1.029
20,A Flower (ZIM),1992-2003,213,212,173,141,32,133,8,5 (5ct 0st),0.816
21,Q de Kock (SA),2013-2019,115,111,166,158,8,158,0,6 (5ct 1st),1.495
22,DJ Richardson (SA),1991-1998,122,121,165,148,17,148,0,5 (5ct 0st),1.363
23,RT Ponting (AUS/ICC),1995-2012,375,372,160,160,0,0,160,3 (3ct 0st),0.430
24,M Azharuddin (INDIA),1985-2000,334,332,156,156,0,0,156,4 (4ct 0st),0.469
25,NR Mongia (INDIA),1994-2000,140,139,154,110,44,110,0,5 (4ct 1st),1.107
26,BRM Taylor (ZIM),2004-2019,193,193,154,125,29,96,29,5 (5ct 0st),0.797
27,T Taibu (Afr/ZIM),2001-2012,150,150,147,114,33,112,2,4 (4ct 0st),0.980
28,AC Parore (NZ),1992-2002,179,178,141,116,25,111,5,5 (3ct 2st),0.792
29,Sarfaraz Ahmed (PAK),2007-2019,116,114,140,116,24,116,0,6 (6ct 0st),1.228
30,SR Tendulkar (INDIA),1989-2012,463,456,140,140,0,0,140,4 (4ct 0st),0.307
31,LRPL Taylor (NZ),2006-2019,228,224,137,137,0,0,137,4 (4ct 0st),0.611
32,Younis Khan (PAK),2000-2015,265,260,135,135,0,5,130,4 (4ct 0st),0.519
33,SP Fleming (ICC/NZ),1994-2007,280,276,133,133,0,0,133,4 (4ct 0st),0.481
34,JH Kallis (Afr/ICC/SA),1996-2014,328,324,131,131,0,0,131,3 (3ct 0st),0.404
35,M Muralitharan (Asia/ICC/SL),1993-2011,350,347,130,130,0,0,130,3 (3ct 0st),0.374
36,AR Border (AUS),1979-1994,273,270,127,127,0,0,127,3 (3ct 0st),0.470
37,Shahid Afridi (Asia/ICC/PAK),1996-2015,398,392,127,127,0,0,127,2 (2ct 0st),0.323
38,Khaled Mashud (BDESH),1995-2006,126,126,126,91,35,91,0,5 (3ct 2st),1.000
39,TM Dilshan (SL),1999-2016,330,325,124,123,1,5,118,3 (3ct 0st),0.381
40,CH Gayle (ICC/WI),1999-2019,301,294,124,124,0,0,124,3 (3ct 0st),0.421
41,RW Marsh (AUS),1971-1984,92,92,124,120,4,120,0,5 (5ct 0st),1.347
42,ST Jayasuriya (Asia/SL),1989-2011,445,441,123,123,0,0,123,3 (3ct 0st),0.278
43,V Kohli (INDIA),2008-2019,239,237,122,122,0,0,122,3 (3ct 0st),0.514
44,CL Hooper (WI),1987-2003,227,225,120,120,0,0,120,4 (4ct 0st),0.533
45,BC Lara (ICC/WI),1990-2007,299,296,120,120,0,0,120,3 (3ct 0st),0.405
46,L Ronchi (AUS/NZ),2008-2017,85,83,117,105,12,105,0,4 (4ct 0st),1.409
47,MS Wade (AUS),2012-2017,94,94,117,108,9,108,0,5 (5ct 0st),1.244
48,Inzamam-ul-Haq (Asia/PAK),1991-2007,378,373,113,113,0,0,113,3 (3ct 0st),0.302
49,SR Waugh (AUS),1986-2002,325,324,111,111,0,0,111,3 (3ct 0st),0.342
50,RS Mahanama (SL),1986-1999,213,212,109,109,0,0,109,3 (3ct 0st),0.514
51,PD Collingwood (ENG),2001-2011,197,197,108,108,0,0,108,3 (3ct 0st),0.548
52,HH Gibbs (SA),1996-2010,248,246,108,108,0,0,108,3 (3ct 0st),0.439
53,SM Pollock (Afr/ICC/SA),1996-2008,303,300,108,108,0,0,108,2 (2ct 0st),0.360
54,ME Waugh (AUS),1988-2002,244,243,108,108,0,0,108,3 (3ct 0st),0.444
55,MJ Clarke (AUS),2003-2015,245,243,106,106,0,0,106,4 (4ct 0st),0.436
56,MEK Hussey (AUS),2004-2012,185,184,105,105,0,0,105,3 (3ct 0st),0.570
57,JN Rhodes (SA),1992-2003,245,242,105,105,0,0,105,5 (5ct 0st),0.433
58,GC Smith (Afr/SA),2002-2013,197,196,105,105,0,0,105,4 (4ct 0st),0.535
59,NJ O'Brien (IRE),2006-2018,103,99,104,90,14,82,8,5 (5ct 0st),1.050
60,Saleem Yousuf (PAK),1982-1990,86,86,103,81,22,81,0,4 (3ct 1st),1.197
61,SK Raina (INDIA),2005-2018,226,223,102,102,0,0,102,3 (3ct 0st),0.457
62,SC Ganguly (Asia/INDIA),1992-2007,311,309,100,100,0,0,100,3 (3ct 0st),0.323
63,IVA Richards (WI),1975-1991,187,186,100,100,0,0,100,3 (3ct 0st),0.537
64,Shoaib Malik (PAK),1999-2019,287,285,98,98,0,0,98,2 (2ct 0st),0.343
65,CZ Harris (NZ),1990-2004,250,247,96,96,0,0,96,4 (4ct 0st),0.388
66,PA de Silva (SL),1984-2003,308,307,95,95,0,0,95,3 (3ct 0st),0.309
67,HP Tillakaratne (SL),1986-2003,200,199,95,89,6,39,50,5 (5ct 0st),0.477
68,Yuvraj Singh (Asia/INDIA),2000-2017,304,298,94,94,0,0,94,3 (3ct 0st),0.315
69,V Sehwag (Asia/ICC/INDIA),1999-2013,251,246,93,93,0,0,93,3 (3ct 0st),0.378
70,MJ Guptill (NZ),2009-2019,179,177,90,90,0,0,90,4 (4ct 0st),0.508
71,Ijaz Ahmed (PAK),1986-2000,250,249,90,90,0,0,90,3 (3ct 0st),0.361
72,KS More (INDIA),1984-1993,94,93,90,63,27,63,0,5 (3ct 2st),0.967
73,Umar Akmal (PAK),2009-2019,121,119,90,77,13,45,32,5 (5ct 0st),0.756
74,Mohammad Shahzad (AFG),2009-2019,84,83,89,64,25,63,1,5 (4ct 1st),1.072
75,DL Vettori (ICC/NZ),1997-2015,295,289,88,88,0,0,88,2 (2ct 0st),0.304
76,Wasim Akram (PAK),1984-2003,356,352,88,88,0,0,88,3 (3ct 0st),0.250
77,HM Amla (SA),2008-2019,181,176,87,87,0,0,87,4 (4ct 0st),0.494
78,GW Flower (ZIM),1992-2010,221,220,86,86,0,0,86,2 (2ct 0st),0.390
79,TWM Latham (NZ),2012-2019,95,93,86,79,7,53,26,5 (5ct 0st),0.924
80,IDS Smith (NZ),1980-1992,98,97,86,81,5,80,1,3 (3ct 0st),0.886
81,A Kumble (Asia/INDIA),1990-2007,271,268,85,85,0,0,85,2 (2ct 0st),0.317
82,Mohammad Hafeez (PAK),2003-2019,218,216,85,85,0,0,85,2 (2ct 0st),0.393
83,NJ Astle (NZ),1995-2007,223,219,83,83,0,0,83,3 (3ct 0st),0.378
84,EJG Morgan (ENG/IRE),2006-2019,233,227,83,83,0,3,80,3 (3ct 0st),0.365
85,GC Wilson (IRE),2007-2019,105,101,83,73,10,49,24,4 (4ct 0st),0.821
86,JP Duminy (SA),2004-2019,199,195,82,82,0,0,82,3 (3ct 0st),0.420
87,A Symonds (AUS),1998-2009,198,196,82,82,0,0,82,4 (4ct 0st),0.418
88,F du Plessis (SA),2011-2019,143,141,81,81,0,0,81,3 (3ct 0st),0.574
89,Saleem Malik (PAK),1982-1999,283,277,81,81,0,1,80,4 (4ct 0st),0.292
90,SK Warne (AUS/ICC),1993-2005,194,193,80,80,0,0,80,3 (3ct 0st),0.414
91,UDU Chandana (SL),1994-2007,147,146,79,79,0,0,79,3 (3ct 0st),0.541
92,MJ Prior (ENG),2004-2011,68,68,79,71,8,69,2,6 (6ct 0st),1.161
93,RG Sharma (INDIA),2007-2019,218,217,77,77,0,0,77,3 (3ct 0st),0.354
94,ADR Campbell (ZIM),1992-2003,188,187,76,76,0,2,74,3 (3ct 0st),0.406
95,RB Richardson (WI),1983-1996,224,222,75,75,0,0,75,4 (4ct 0st),0.337
96,JE Root (ENG),2013-2019,143,139,74,74,0,0,74,3 (3ct 0st),0.532
97,JC Adams (WI),1992-2001,127,127,73,68,5,26,42,5 (4ct 1st),0.574
98,DJ Bravo (WI),2004-2014,164,161,73,73,0,0,73,3 (3ct 0st),0.453
99,S Chanderpaul (WI),1994-2011,268,264,73,73,0,0,73,2 (2ct 0st),0.276
100,WJ Cronje (SA),1992-2000,188,186,73,73,0,0,73,2 (2ct 0st),0.392
101,SD Hope (WI),2016-2019,66,63,73,64,9,64,0,4 (4ct 0st),1.158
102,Javed Miandad (PAK),1975-1996,233,229,73,71,2,1,70,3 (3ct 0st),0.318
103,SB Styris (NZ),1999-2011,188,185,73,73,0,0,73,3 (3ct 0st),0.394
104,E Chigumbura (Afr/ZIM),2004-2018,213,212,72,72,0,0,72,4 (4ct 0st),0.339
105,MH Cross (SCOT),2014-2019,49,48,72,68,4,68,0,6 (6ct 0st),1.500
106,GO Jones (ENG/PNG),2004-2014,51,51,72,68,4,68,0,5 (5ct 0st),1.411
107,Harbhajan Singh (Asia/INDIA),1998-2015,236,231,71,71,0,0,71,3 (3ct 0st),0.307
108,N Kapil Dev (INDIA),1978-1994,225,222,71,71,0,0,71,3 (3ct 0st),0.319
109,KD Karthik (INDIA),2004-2019,94,94,71,64,7,35,29,4 (4ct 0st),0.755
110,H Masakadza (ZIM),2001-2019,209,209,71,71,0,0,71,2 (2ct 0st),0.339
111,MS Atapattu (SL),1990-2007,268,266,70,70,0,0,70,3 (3ct 0st),0.263
112,MG Bevan (AUS),1994-2004,232,230,69,69,0,0,69,3 (3ct 0st),0.300
113,DR Martyn (AUS),1992-2006,208,205,69,69,0,0,69,3 (3ct 0st),0.336
114,A Bagai (CAN),2003-2013,62,62,68,59,9,58,1,4 (4ct 0st),1.096
115,CO Browne (WI),1995-2005,46,46,68,59,9,59,0,5 (5ct 0st),1.478
116,ML Hayden (AUS/ICC),1993-2008,161,158,68,68,0,0,68,2 (2ct 0st),0.430
117,DJG Sammy (WI),2004-2015,126,124,67,67,0,0,67,3 (3ct 0st),0.540
118,SO Tikolo (Afr/KENYA),1996-2014,135,135,67,67,0,0,67,3 (3ct 0st),0.496
119,CL Cairns (ICC/NZ),1991-2006,215,214,66,66,0,0,66,3 (3ct 0st),0.308
120,LD Chandimal (SL),2010-2019,146,143,66,59,7,31,28,4 (3ct 1st),0.461
121,MD Crowe (NZ),1982-1995,143,141,66,66,0,0,66,3 (3ct 0st),0.468
122,Misbah-ul-Haq (PAK),2002-2015,162,160,66,66,0,0,66,4 (4ct 0st),0.412
123,C Kieswetter (ENG),2010-2013,46,45,65,53,12,52,1,5 (2ct 3st),1.444
124,GJ Maxwell (AUS),2012-2019,110,110,65,65,0,0,65,4 (4ct 0st),0.590
125,SPD Smith (AUS),2010-2019,118,118,65,65,0,0,65,3 (3ct 0st),0.550
126,GA Hick (ENG),1991-2001,120,119,64,64,0,0,64,3 (3ct 0st),0.537
127,SR Watson (AUS),2002-2015,190,189,64,64,0,0,64,2 (2ct 0st),0.338
128,KJ O'Brien (IRE),2006-2019,142,138,63,63,0,0,63,3 (3ct 0st),0.456
129,WTS Porterfield (IRE),2006-2019,136,131,63,63,0,0,63,3 (3ct 0st),0.480
130,A Ranatunga (SL),1982-1999,269,268,63,63,0,0,63,3 (3ct 0st),0.235
131,DJ Cullinan (SA),1993-2000,138,135,62,62,0,0,62,3 (3ct 0st),0.459
132,S Dhawan (INDIA),2010-2019,133,131,62,62,0,0,62,4 (4ct 0st),0.473
133,G Kirsten (SA),1993-2003,185,183,62,61,1,1,60,3 (3ct 0st),0.338
134,Wasim Bari (PAK),1973-1984,51,50,62,52,10,52,0,4 (3ct 1st),1.240
135,AL Logie (WI),1981-1993,158,158,61,61,0,0,61,3 (3ct 0st),0.386
136,Mahmudullah (BDESH),2007-2019,185,184,61,61,0,0,61,3 (3ct 0st),0.331
137,Mashrafe Mortaza (Asia/BDESH),2001-2019,217,217,61,61,0,0,61,2 (2ct 0st),0.281
138,NLTC Perera (SL),2009-2019,161,157,61,61,0,0,61,2 (2ct 0st),0.388
139,WPUJC Vaas (Asia/SL),1994-2008,322,320,60,60,0,0,60,2 (2ct 0st),0.187
140,KS Williamson (NZ),2010-2019,149,148,60,60,0,0,60,3 (3ct 0st),0.405
141,AJ Finch (AUS),2013-2019,119,119,59,59,0,0,59,3 (3ct 0st),0.495
142,DL Haynes (WI),1978-1994,238,236,59,59,0,0,59,2 (2ct 0st),0.250
143,A Jadeja (INDIA),1992-2000,196,195,59,59,0,0,59,2 (2ct 0st),0.302
144,DA Miller (SA),2010-2019,126,123,59,59,0,0,59,3 (3ct 0st),0.479
145,Mohammad Yousuf (Asia/PAK),1998-2010,288,285,58,58,0,0,58,2 (2ct 0st),0.203
146,MA Ouma (KENYA),2004-2014,80,80,58,48,10,43,5,5 (3ct 2st),0.725
147,RA Jadeja (INDIA),2009-2019,156,155,57,57,0,0,57,2 (2ct 0st),0.367
148,KO Otieno (KENYA),1996-2009,90,90,57,43,14,40,3,4 (3ct 1st),0.633
149,AJ Strauss (ENG),2003-2011,127,127,57,57,0,0,57,3 (3ct 0st),0.448
150,MA Taylor (AUS),1989-1997,113,113,56,56,0,0,56,4 (4ct 0st),0.495
151,RA Harper (WI),1983-1996,105,105,55,55,0,0,55,3 (3ct 0st),0.523
152,M Kaif (INDIA),2002-2006,125,122,55,55,0,0,55,4 (4ct 0st),0.450
153,Mohammad Nabi (AFG),2009-2019,121,118,55,55,0,0,55,3 (3ct 0st),0.466
154,TD Paine (AUS),2009-2018,35,34,55,51,4,51,0,5 (5ct 0st),1.617
155,PV Simmons (WI),1987-1999,143,143,55,55,0,0,55,4 (4ct 0st),0.384
156,IR Bell (ENG),2004-2015,161,160,54,54,0,0,54,3 (3ct 0st),0.337
157,DM Jones (AUS),1984-1994,164,164,54,54,0,0,54,2 (2ct 0st),0.329
158,B Lee (AUS),2000-2012,221,217,54,54,0,0,54,3 (3ct 0st),0.248
159,Tamim Iqbal (BDESH),2007-2019,204,203,54,54,0,0,54,2 (2ct 0st),0.266
160,JM Anderson (ENG),2002-2015,194,192,53,53,0,0,53,3 (3ct 0st),0.276
161,JR Murray (WI),1992-1999,55,55,53,46,7,44,2,3 (3ct 0st),0.963
162,KA Pollard (WI),2007-2016,101,99,53,53,0,0,53,4 (4ct 0st),0.535
163,DA Warner (AUS),2009-2019,116,116,53,53,0,0,53,2 (2ct 0st),0.456
164,AB Agarkar (INDIA),1998-2007,191,188,52,52,0,0,52,2 (2ct 0st),0.276
165,AD Mathews (SL),2008-2019,214,210,52,52,0,0,52,3 (3ct 0st),0.247
166,CS Baugh (WI),2003-2012,47,46,51,39,12,39,0,4 (2ct 2st),1.108
167,JDP Oram (NZ),2001-2012,160,159,51,51,0,0,51,2 (2ct 0st),0.320
168,JG Wright (NZ),1978-1992,149,147,51,51,0,0,51,2 (2ct 0st),0.346
169,MN Samuels (WI),2000-2018,207,207,50,50,0,0,50,2 (2ct 0st),0.241
170,Shakib Al Hasan (BDESH),2006-2019,206,205,50,50,0,0,50,3 (3ct 0st),0.243
171,WU Tharanga (Asia/SL),2005-2019,235,228,50,50,0,0,50,3 (3ct 0st),0.219
172,P Utseya (ZIM),2004-2015,164,164,50,50,0,0,50,2 (2ct 0st),0.304
173,Aamer Sohail (PAK),1990-2000,156,154,49,49,0,0,49,2 (2ct 0st),0.318
174,AP Gurusinha (SL),1985-1996,147,147,49,49,0,2,47,2 (2ct 0st),0.333
175,WB Phillips (AUS),1982-1986,48,48,49,42,7,42,0,4 (3ct 1st),1.020
176,ME Trescothick (ENG),2000-2006,123,121,49,49,0,4,45,3 (3ct 0st),0.404
177,KC Wessels (AUS/SA),1983-1994,109,106,49,49,0,0,49,4 (4ct 0st),0.462
178,SC Williams (ZIM),2005-2019,131,130,49,49,0,0,49,3 (3ct 0st),0.376
179,RP Arnold (SL),1997-2007,180,179,48,48,0,0,48,2 (2ct 0st),0.268
180,GJ Bailey (AUS),2012-2016,90,90,48,48,0,0,48,3 (3ct 0st),0.533
181,AM Rahane (INDIA),2011-2018,90,87,48,48,0,0,48,2 (2ct 0st),0.551
182,J Smits (NL),2003-2009,38,38,48,41,7,41,0,4 (4ct 0st),1.263
183,N Dickwella (SL),2014-2019,52,52,47,38,9,38,0,4 (2ct 2st),0.903
184,A Flintoff (ENG/ICC),1999-2009,141,140,47,47,0,0,47,3 (3ct 0st),0.335
185,RC Russell (ENG),1987-1998,40,40,47,41,6,41,0,3 (3ct 0st),1.175
186,JO Holder (WI),2013-2019,107,104,46,46,0,0,46,2 (2ct 0st),0.442
187,KMDN Kulasekara (SL),2003-2017,184,181,46,46,0,0,46,3 (3ct 0st),0.254
188,MDKJ Perera (SL),2013-2019,98,97,46,43,3,26,17,4 (4ct 0st),0.474
189,HH Streak (Afr/ZIM),1993-2005,189,188,46,46,0,0,46,2 (2ct 0st),0.244
